recid,eqid,magnitude,region,station_longitude,station_latitude,epi_dist,epi_azimuth,vs30,scaled_deltaW
15458,1113,3.99,CALIFORNIA,-117.388,33.951,17.42738590065692,-2.2633232974387645,323.4,1.4991851895697934
15459,1113,3.99,CALIFORNIA,-117.344,33.979,12.316661364474829,-2.280557865318755,340.65,-0.4113238515373218
15460,1113,3.99,CALIFORNIA,-117.486,33.975,24.00115743605353,-1.930477179873673,329.84,1.8053961043751847
15461,1113,3.99,CALIFORNIA,-117.234,33.902,16.592137969654488,3.091960315609648,308.33,0.2300207961470703
15462,1113,3.99,CALIFORNIA,-117.173,33.921,15.840761273777332,2.721285833541824,338.19,0.5343025830809813
15463,1113,3.99,CALIFORNIA,-117.511,34.014,25.10400908135669,-1.7355013642853163,342.5,1.1104831813029838
15464,1113,3.99,CALIFORNIA,-117.183,34.074,6.071479593859327,1.144875393093845,328.76,-0.5463608055510107
15465,1113,3.99,CALIFORNIA,-117.287,34.096,6.4066318867160765,-0.6882851989941844,314.48,-0.06353494027724
15466,1113,3.99,CALIFORNIA,-117.253,34.133,9.099266880994731,-0.1025648900148907,584.0,-0.1316444476467982
15467,1113,3.99,CALIFORNIA,-117.398,34.069,14.451237401772897,-1.4345316030012043,325.13,1.787205555372947
15468,1113,3.99,CALIFORNIA,-117.058,34.004,17.867490277993305,1.868577570842196,346.82,0.1029943740150178
15469,1113,3.99,CALIFORNIA,-117.22393,34.00469,5.469396163590636,2.8154315317863103,488.0,-0.6703185724101319
15471,1113,3.99,CALIFORNIA,-117.213,34.136,9.78142829454034,0.2858283473485947,362.39,-1.1365542427191144
15473,1113,3.99,CALIFORNIA,-117.32066,33.92024,16.226055332478033,-2.6824847020210423,557.67,2.22870323263926
15476,1113,3.99,CALIFORNIA,-117.294,34.14,10.900627166600476,-0.4471196294192444,322.53,-0.8284813316924104
15478,1113,3.99,CALIFORNIA,-117.365,34.205,20.42435522416846,-0.5835153614282663,495.59,0.2442962858762039
